0.833363	11772	9669.75
1.25304	11712	9669.75
1.33623	11556	9669.75
1.36381	11556	9681.23
2.79373	11341	9681.23
20.5409	11248	9684.13
31.4982	11248	9685
56.1228	11213	9685
77.7299	11060	9685
97.7368	11060	9693.54
117.225	11022	9693.54
123.652	11003	9693.54
130.267	10921	9693.54
146.33	10901	9693.54
169.182	10353	9693.54
226.52	10353	9694.28
240.132	10352	9694.28
282.295	10352	9694.33
292.248	10352	9737.59
519.365	10352	9777.61
540.245	10295	9777.61
703.636	10295	9797.61
931.329	10295	9800.1
1022.2	10295	9807.35
1106.84	10295	9808.21
1221.88	10295	9810.34
1373.45	10288	9810.34
1426.23	10288	9818.4
1535.39	10287	9818.4
